,avg,country
85,1.6470588235294117,Holy See (Vatican City State)
86,2.0,Honduras
87,2.6157635467980294,Hong Kong
88,4.315789473684211,Hungary
89,4.073770491803279,Iceland
90,4.266666666666667,India
91,2.2961181724493303,Indonesia
92,1.782538399353274,"Iran, Islamic Republic of"
93,1.4762633996937213,Iraq
94,1.4791666666666667,Ireland
95,4.163043478260869,Isle of Man
96,2.1538461538461537,Israel
97,4.50625,Italy
98,2.715196855822933,Jamaica
99,2.357142857142857,Japan
100,4.433962264150943,Jersey
101,3.642857142857143,Jordan
102,3.2,Kazakhstan
103,4.666666666666667,Kenya
104,3.007168458781362,"Korea, Republic of"
105,4.16,Kuwait
106,1.75,Kyrgyzstan
107,0.0,Lao People's Democratic Republic
108,1.0555555555555556,Latvia
109,4.0,Lebanon
110,2.9019607843137254,Lesotho
111,2.25,Liberia
112,2.4444444444444446,Libya
113,0.375,Liechtenstein
114,3.375,Lithuania
115,4.739130434782608,Luxembourg
116,3.4840182648401825,Macau
117,5.0,Macedonia
118,2.8055555555555554,Madagascar
119,1.9946524064171123,Malawi
120,2.230769230769231,Malaysia
121,2.9876923076923076,Maldives
122,1.4166666666666667,Mali
123,1.4487179487179487,Malta
124,3.4545454545454546,Marshall Islands
125,0.0,Martinique
126,2.7757009345794392,Mauritania
127,1.0,Mauritius
128,3.661290322580645,Mayotte
129,1.5,Mexico
130,2.8139501160092806,"Micronesia, Federated States of"
131,0.0,"Moldova, Republic of"
132,3.8333333333333335,Monaco
133,3.1904761904761907,Mongolia
134,1.9565217391304348,Montenegro
135,2.5294117647058822,Morocco
136,1.8529048207663783,Mozambique
137,1.2962962962962963,Myanmar
138,1.2522522522522523,Namibia
139,2.25,Nepal
140,2.1666666666666665,Netherlands
141,5.2,New Caledonia
142,2.397163120567376,New Zealand
143,3.303236797274276,Nicaragua
144,2.1893491124260356,Niger
145,1.6206896551724137,Nigeria
146,2.4055944055944054,Northern Mariana Islands
147,0.0,Norway
148,4.9714285714285715,Oman
149,2.8421052631578947,Pakistan
150,1.8041666666666667,Palestinian Territory
151,2.5714285714285716,Panama
152,2.6742857142857144,Papua New Guinea
153,1.9166666666666667,Paraguay
154,2.4768683274021353,Peru
155,2.318331503841932,Philippines
156,2.7395833333333335,Poland
157,5.804123711340206,Portugal
158,4.1230283911671926,Puerto Rico
159,2.4716981132075473,Qatar
160,2.5454545454545454,Reunion
161,2.6102564102564103,Romania
162,4.0245098039215685,Russian Federation
163,5.625668449197861,Rwanda
164,1.9545454545454546,Saint Kitts and Nevis
165,1.5,Saint Lucia
166,0.0,Saint Martin
167,0.0,Saint Pierre and Miquelon
168,3.1666666666666665,Saint Vincent and the Grenadines
169,0.0,San Marino
170,2.6,Sao Tome and Principe
171,0.0,Saudi Arabia
172,2.607476635514019,Senegal
173,1.609375,Serbia
174,3.7386934673366836,Seychelles
175,1.0,Sierra Leone
176,2.5,Singapore
177,3.9653179190751446,Sint Maarten (Dutch part)
178,0.0,Slovakia
179,4.575342465753424,Slovenia
180,4.4520547945205475,Solomon Islands
181,0.5,Somalia
182,0.9090909090909091,South Africa
183,3.7243589743589745,South Sudan
184,1.5,Spain
185,3.3551529653050762,Sri Lanka
186,2.176470588235294,Sudan
187,1.3170731707317074,Suriname
188,2.0,Swaziland
189,2.6,Sweden
190,5.583333333333333,Switzerland
191,3.465242088179605,Syrian Arab Republic
192,2.263157894736842,Taiwan
193,5.1923076923076925,Tajikistan
194,0.0,"Tanzania, United Republic of"
195,1.9027777777777777,Thailand
196,3.0136363636363637,Togo
197,1.4383561643835616,Tonga
198,0.0,Trinidad and Tobago
199,3.1515151515151514,Tunisia
200,2.2348754448398576,Turkey
201,4.389937106918239,Turks and Caicos Islands
202,0.0,Uganda
203,2.2739726027397262,Ukraine
